word,similarity
remarkable,0.85455954
conservative,0.83090734
consistent,0.8232057
dominant,0.81763387
consecutive,0.8129016
solid,0.81042486
aggressive,0.80939555
fine,0.80563724
closest,0.8053475
hardest,0.80391157
largest,0.8012933
dramatic,0.7960645
impressive,0.79420924
emotional,0.7933047
confident,0.79029644
global,0.7857002
fastest,0.78427243
uncomfortable,0.78225744
steady,0.78187895
young,0.78082454
successful,0.78027517
bright,0.78009224
larger,0.7799369
tight,0.775014
stronger,0.7749733
strong,0.7731755
sharp,0.77204096
unusual,0.7714268
incredible,0.77066886
smart,0.7691289
greatest,0.7683919
worse,0.76787066
smaller,0.7676661
busy,0.7657143
relaxed,0.7650504
similar,0.76463974
dynamic,0.7643802
slower,0.7635052
serious,0.7627258
focused,0.76258004
happy,0.76248956
fun,0.7618178
impossible,0.75728875
ultimate,0.756225
improved,0.75595754
unchanged,0.7553818
intense,0.7551749
brutal,0.75503594
oldest,0.7544954
significant,0.7541194
powerful,0.75179225
single,0.75137436
toughest,0.74992085
rough,0.7487227
medical,0.7462263
huge,0.7459188
alive,0.7444408
amazing,0.7426027
honest,0.7423038
major,0.7412473
current,0.7401664
bigger,0.739812
personal,0.73969847
senior,0.73671603
typical,0.73410356
professional,0.73342204
decent,0.7328243
crazy,0.73175514
large,0.7308146
positive,0.72967833
poor,0.72954684
interesting,0.7293582
fresh,0.72846615
greater,0.7280353
tough,0.7265475
experienced,0.72524357
historic,0.72517174
older,0.7249911
smooth,0.72469544
minimal,0.7220967
quiet,0.722003
short,0.7219877
bad,0.72142327
ready,0.71905524
active,0.7151672
wild,0.714939
united,0.7132672
calm,0.7125331
outstanding,0.71225846
excellent,0.7118323
true,0.7117117
harder,0.7091976
fair,0.70864725
iconic,0.70805734
younger,0.7079725
necessary,0.7073664
worst,0.7070201
sweet,0.7066854
competitive,0.70658886
hard,0.7051121
big,0.70467424
classic,0.70322263
heavy,0.70211756
faster,0.70055616
middle,0.69891727
normal,0.69796497
tired,0.69664574
fast,0.6964053
longer,0.6952598
ideal,0.69518656
psychological,0.6944011
difficult,0.6920173
couple,0.69137347
nice,0.6897959
finishing,0.68803424
athlete,0.68750584
original,0.6874461
potential,0.68646127
certified,0.68426573
quick,0.6841784
famous,0.6830734
former,0.6822827
regular,0.680548
biggest,0.6788043
wrong,0.67746496
lighter,0.6733894
super,0.6724155
helpful,0.67184913
healthy,0.6714927
pretty,0.67117983
challenging,0.6694834
mental,0.66626793
easier,0.6627203
beautiful,0.6622206
popular,0.65980804
pro,0.6587676
physical,0.65566003
highest,0.65128815
tiny,0.643332
slow,0.64322925
lower,0.6418793
enough,0.638642
extreme,0.635392
old,0.6352905
good,0.63463676
comfortable,0.63426447
notable,0.6339885
vegan,0.6339303
front,0.63364106
shorter,0.63312864
less,0.6311641
simple,0.6302389
natural,0.6248225
long,0.62355196
wide,0.6230308
cool,0.6208904
unique,0.6182692
cheap,0.61549354
grand,0.6149426
clean,0.61389756
elite,0.6100728
cold,0.6098169
little,0.60936713
safe,0.6074449
golden,0.60505617
better,0.6036731
respective,0.60282433
affordable,0.6001365
small,0.59852403
lightweight,0.5973902
important,0.59638995
perfect,0.59056735
legendary,0.58259094
soft,0.58120906
veteran,0.57847774
generous,0.57817197
social,0.57763314
extra,0.57699114
easy,0.57531273
favorite,0.5741029
fittest,0.5694096
thoughtful,0.5649619
athletic,0.557673
technical,0.54829574
different,0.54650825
light,0.5451301
peak,0.54257715
expert,0.5406529
prime,0.53347987
special,0.5276093
fit,0.5241983
fat,0.51531595
usual,0.51341915
ultra,0.50779593
independent,0.5014458
high,0.4957838
possible,0.49502134
grateful,0.4903167
great,0.4715023
best,0.46954167
