title,url,content																					
2024 Mountain Running World Cup Finals Trail Race Results: Kipngeno and Adkin Win Series,https://www.irunfar.com/2024-mountain-running-world-cup-finals-trail-race-results,"The 2024Mountain Running World Cupfinished with a pair of competitive races in northern Italy. The Saturday, October 12 vertical kilometer (VK) race and the Sunday, October 13 trail race marked the end of this yearâ€™s 12-race series that spanned seven countries.																					
It was a fitting end. Kenyaâ€™sPatrick Kipngeno(pre-raceandpost-raceinterviews) andJoyce Muthoni Njeruwon the race, while Kipngeno and the U.K.â€™sScout Adkin(pre-raceandpost-raceinterviews) won the series. Kipngeno and Adkin earned â‚¬5,000 for their world cup wins, part of a â‚¬30,000 prize purse that paid money 10 deep.																					
TheWorld Mountain Running Championshipshappen every other year. The event was contested last year in Austria and will happen again in 2025 in Spain. Absent a world championships event in 2024, the Mountain Running World Cup Finals take on greater importance this year. The World Mountain Running Association administers both.																					
The Sunday, October 13 trail race was contested as part of theVal Bregaglia Trailrace. The course stretched 23 kilometers long and with 850 meters of climbing and 900 meters of drop on a point-to-point course from Switzerland to Italy.																					
Thanks to the World Mountain Running Association for supporting iRunFarâ€™s 2024 Mountain Running World Cup Finals coverage.																					
You can also check out our results article from the VK race:2024 Mountain Running World Cup Finals VK Results: Adkin and Elia Fastest to Top.																					
Runners line up for the start of the Val Bregaglia Trail race, as part of the 2024 Mountain Running World Cup Finals. Photo: World Mountain Running Association/Nancy Hobbs																					
Kenyaâ€™sJosphat Kiprotich(Kenya), this yearâ€™s Sierre-Zinal fourth-placer, pushed to an early lead, but with five kilometers to go, Franceâ€™sThÃ©odore Kleinwas an even bigger surprise leader. The 29-year-old Klein ran Sierre-Zinal this year too, finishing 205th.																					
Call that a bad day, though	 his better results include a third at this yearâ€™s European Off-Road Championships and a sub-30 minute 10,000-meter run as recently as 2021. Klein greatly outperformed that Sierre-Zinal result here.																				
Franceâ€™s ThÃ©odore Klein leads the 2024 Val Bregaglia Trail at 16 kilometers into the race. He was a pace pusher all race, and ultimately finished in third. Photo: iRunFar/Sarah Brady																					
Series leaderPatrick Kipngeno(pre-raceandpost-raceinterviews) was right with Klein though, and Kipngeno was able to pull away over the raceâ€™s closing stages. Kipngeno won the race in 1:34:03, and won the series too. He was third in yesterdayâ€™s VK race as part of the weekend double.																					
Kenyaâ€™s Patrick Kipngeno wins the 2024 Val Bregaglia Trail, in doing so securing his victory at the 2024 Mountain Running World Cup. Photo: iRunFar/Meghan Hicks																					
Kipngeno raced seven times in the world cup this year. He won both Broken Arrow races at the start of the season, and won the Vertical Nasego and Trofeo Nasego races in Italy too as part of the world cup. Heâ€™s currently ranked second in the Golden Trail World Series ahead of that seriesâ€™s final next weekend in Switzerland.																					
Kenyaâ€™sPaul Machokaran down Klein before the finish too for a silver medal 1:34:22 finish, and Klein was third in 1:34:53.																					
Paul Machoka runs in second early on in the 2024 Val Bregaglia Trail, the same position in which heâ€™d ultimately finish. Photo: iRunFar/Meghan Hicks																					
Kenya placed five runners inside the top 10 and Italy three inside the top 10.																					
The top U.S. finisher was 12th-placeLiam Meirowin 1:37:51.																					
Full results.																					
Kenyaâ€™s Josphat Kiprotich leads the 2024 Val Bregaglia Trail early in the race. He went on to take fourth. Photo: iRunFar/Meghan Hicks																					
The womenâ€™s race looked a lot like so many other shorter trail races this year. Kenyaâ€™sJoyce Muthoni Njeruwent to the front early and led for a lot of it. She finished in 1:47:45, just over a minute better than everyone else. It wasnâ€™t enough to seal the series win though, as she narrowly lost out to the previous dayâ€™s winner,Scout Adkin(pre-raceandpost-raceinterviews)Â of the U.K.																					
Joyce Muthoni Njeru of Kenya celebrates a win at the 2024 Val Bregaglia Trail. In a very close Mountain Running World Cup, she took second behind world cup winner Scout Adkin. Photo: iRunFar/Meghan Hicks																					
Muthoni Njeru incredibly contested 10 of the 12 world cup races. She earned wins at both Broken Arrow races, Trofeo Nasego, and Å marna Gora as part of her world cup season. Sheâ€™s expected to race the Golden Trail World Series final next weekend in Switzerland, too.																					
The U.K.â€™s Scout Adkin running late in the 2024 Val Bregaglia Trail, on her way to third place in the race, but a win at the Mountain Running World Cup. Photo: iRunFar/Sarah Brady																					
Second for the second-straight day was Kenyaâ€™sPhilaries Jeruto Kisang(pre-race interview). She trailed Muthoni Njeru with a 1:48:51 finish, and the VK race winner, and overall world cup winner, Adkin, was third in 1:48:58.																					
There were no U.S. women in the race.																					
Philaries Jeruto Kisang of Kenya takes second at the 2024 Val Bregaglia Trail. This finish secured her a third place finish in the Mountain Running World Cup this year. Photo: iRunFar/Meghan Hicks																					
Full results.																					
Susanna Saapunki, a Finnish runner living in Italy, running near the lead during the 2024 Val Bregaglia Trail. She went on to take fifth. Photo: iRunFar/Meghan Hicks																					
Related articles:"																					
2024 Mountain Running World Cup Finals VK Results: Adkin and Elia Fastest to Top,https://www.irunfar.com/2024-mountain-running-world-cup-finals-vk-results,"After 10 races across seven countries, the 2024Mountain Running World Cupwraps up with a pair of finals on back-to-back days in Italy. Up first, theKilometro Verticale LagÃ¹ncran on Saturday, October 12, where the U.K.â€™sScout Adkin(pre-raceandpost-raceinterviews) and Italyâ€™sAndrea Eliaemerged as uphill champions.																					
TheWorld Mountain Running Championshipshappen every other year. The event was contested last year in Austria and will happen again in 2025 in Spain. Absent a world championships event in 2024, the Mountain Running World Cup Finals take on greater importance this year. The World Mountain Running Association administers both.																					
A true vertical kilometer (VK), the uphill race gained 1,000 meters over 3.3 kilometers in distance. With a history dating back to 1986, it is the oldest VK race in the world. The course took runners from Chiavenna to LagÃ¹nc, Italy, and was run in a time-trial format with runners sprinting from the start every 15 seconds. It was a cool morning with some rain and mist, making for fine conditions, if a little bit slippery on some sections of the course.																					
Finally, this VK served as the 2024 Italian VK National Championships, which brought some additional competition.																					
Many of the runners doubled back on Sunday, October 13, to run theVal Bregaglia Trailrace to conclude the series. Read ourresults articlefor that full race story.																					
Thanks to the World Mountain Running Association for supporting iRunFarâ€™s 2024 Mountain Running World Cup Finals coverage.																					
The 2024 Kilometro Verticale LagÃ¹nc finish line, located above the town of Chiavenna, in northern Italy. It was the first certified VK course, established in 1986. Photo: iRunFar/Meghan Hicks																					
In all, the womenâ€™s fieldâ€™s start was spread over 46 minutes, and the top women started at the back of the field. World cup series leaderJoyce Muthoni Njeru(Kenya) went third to last, and was followed from the start line by the U.K.â€™sScout Adkin(pre-raceandpost-raceinterviews)Â and Kenyaâ€™sPhilaries Kisang Jeruto(pre-race interview). Adkin and Kisang, Muthoni Njeruâ€™s chief rivals in the series, were ranked second and third in the world cup before the race.																					
Scout Adkin ran away with the win at the 2024 Kilometro Verticale LagÃ¹nc, as part of the Mountain Running World Cup Finals. Photo: iRunFar/Meghan Hicks																					
Further up in the start order, nearly 30 minutes before Muthoni Njeru started,Paola Stampanoni(Switzerland) was greatly outrunning her start position and passed more women than anyone else on her race to the top. In September, Stampanoni was second at the Skyrunning World Championships Vertical race.																					
Switzerlandâ€™s Paola Stampanoni working hard on her way to third place at the Mountain Running World Cup Finals Vertical Kilometer. Photo: iRunFar/Sarah Brady																					
The time-trial format makes finish ranks uncertain to spectators at the top, but both Adkin and Jeruto Kisang ran down favorite Muthoni Njeru and hit the high-point finish comfortably ahead of the series leader.																					
Adkin won the race in 37:57, ahead of Jeruto Kisangâ€™s 38:35. Adkin had a commanding 38-second lead when the finish times flashed. It was Adkinâ€™s third world cup win of the year, on top of a strong second-place finish at Sierre-Zinal this year.																					
Philaries Jeruto Kisang works her way toward second place at the 2024 Kilometro Verticale LagÃ¹nc in the Mountain Running World Cup Finals. Photo: iRunFar/Meghan Hicks																					
Always on the podium, Jeruto Kisang had to settle for just that, another podium finish. Her runner-up spot matched last yearâ€™s silver medal at the 2023 World Mountain Running Championships Uphill race.																					
Stampaniniâ€™s surprise early-in-the-race 39:13 split held up as third best.																					
Series leader and 2024 star across both the Mountain Running World Cup and the Golden Trail World Series, Muthoni Njeru was just fifth on the day in 39:55. That was, however, enough for her to hold onto her world cup series lead heading into the next day final race.																					
Kenyaâ€™s Joyce Muthoni Njeru finished fifth at the 2024 Mountain Running World Cup Finals Vertical Kilometer, retaining the top position in the world cup. Photo: iRunFar/Meghan Hicks																					
The top U.S. finisher was 11th-placeRachel Tomajczykin 41:55.																					
Full results.																					
Rachel Tomajczyk (left) and Lauren Gregory took 11th and 12th at the 2024 Mountain Running World Cup Finals Vertical Kilometer. Photo: iRunFar/Meghan Hicks																					
The men were second to challenge the mountain. The first man left the start line at 10:01 a.m. and another followed every 15 seconds clear up through 11:43 a.m. As with the women, the top men went last. The world cup series leader, Kenyaâ€™sPatrick Kipngeno(pre-raceandpost-raceinterviews), started fourth to last.																					
The U.S.â€™sJoseph Gray(pre-race interview), as with Kipngeno, a former uphill world champion, was seventh to last, and second in the world cup rankings. Kenyaâ€™sPhilemon Kiriago(pre-race interview), was ninth to last at the start line. As with the womenâ€™s race, there was rain and mist alternately throughout, making for wet terrain on the climb.																					
Italyâ€™s Andrea Elia, the 2024 Kilometro Verticale Lagunc champion, which was part of the Mountain Running World Cup Finals. Photo: iRunFar/Meghan Hicks																					
The world cup has been dominated by Kenyan runners this year, and the country had six runners in the field. At the finish, though, it was the host country that starred. Italy placed four runners inside the top seven.																					
When the race organizers laid out this start order, somehow they absolutely nailed it.																					
Just fifth at last weekâ€™sÂ 2024 Å marna Gora race in Slovenia,Andrea Elia(Italy) started the race second to last.Henri Aymonod(Italy), an uphill powerhouse who won last yearâ€™s race here, went last from the starting line.																					
Italyâ€™s Henri Aymonod looks calm on his way to taking second at the 2024 Mountain Running World Cup Finals VK. Photo: iRunFar/Sarah Brady																					
Those two ran down Kipngeno, all the other Kenyan runners, Gray, and everyone else in front of them. Elia hit the top after 31:08 and Aymonod was only seven seconds behind in 31:15. Italy thus stood atop both the gold- and silver-medal podium positions.																					
Kipngeno, last yearâ€™s World Mountain Running Uphill Champion, was third in 31:50. As with Muthoni Njeru in the womenâ€™s race, that did score enough points to still lead the overall series heading into the next dayâ€™s final race on October 13.																					
Patrick Kipngeno of Kenya took third at the 2024 Mountain Running World Cup Finals Vertical Kilometer, and retained his lead in the world cup. Photo: iRunFar/Meghan Hicks																					
Christian Allenled the U.S. in ninth at 33:09, and Gray was 19th in 34:22.																					
World cup series #2, Kiriago, was just 12th in the race in 33:38.																					
Womenâ€™s winner Scout Adkinâ€™s brother,Jacob Adkin(U.K.), was 17th in the menâ€™s race in 34:14.																					
Christian Allen was the top American at the 2024 Mountain Running World Cup Finals Vertical Kilometer. He took ninth. Photo: iRunFar/Meghan Hicks																					
Full results.																					
The 2024 Kilometro Verticale LagÃ¹nc menâ€™s podium (left-to-right): 2. Henri Aymonod, 1. Andrea Elia, and 3. Patrick Kipngeno. Photo: iRunFar/Meghan Hicks																					
Related articles:"																					
Mammoth Trail Fest 26k Results: Joyce Muthoni Njeru and Elhousine Elazzaoui Dominate,https://www.irunfar.com/mammoth-trail-fest-26k-results-joyce-muthoni-njeru-and-elhousine-elazzaoui-dominate,"The eighth race of the 2024 Golden Trail World Series, and the last before the final, theMammoth Trail Fest 26kkicked off in Mammoth Lakes, California, at 10 a.m. on Sunday, August 22. The 16.1-mile course, starting and ending in Mammoth Village, has more than 3,900 feet of climbing and tops out at 11,053 feet, making it a proper high-altitude race.																					
Racers were greeted with cool, clear, and sunny conditions on race morning. The women started 20 minutes ahead of the men, providing them with their own race. Golden Trail World Series leaderJoyce Muthoni Njeruof Kenya took the early lead and never gave it up, finishing nearly three minutes ahead of Romaniaâ€™sMÄƒdÄƒlina Florea. In the menâ€™s race, the top four in the series standings ran together earlier on beforeElhousine Elazzaouiof Morocco andPatrick Kipngenoof Kenya pulled away over the summit of Mammoth Mountain and ran together for the rest of the race to a sprint finish, where Elazzaoui came away with the win.																					
The event is the queen event of the three-day Mammoth Trail Fest event. With a $21,000 prize purse up for grabs and prize money going 10 deep â€” as well as points leading into the Golden Trail World Series final up for grabs â€” the field was filled with some of the best shorter-distance trail racers vying for the top spot on the podium.																					
After leaving the village, the single-loop course climbs steeply to the top of Mammoth Mountain in the first 7.5 miles, gaining nearly all of its elevation in the span of three miles along the Dragonâ€™s Back. From the summit, it drops steeply to the McCoy aid station, tackling the new Bullet downhill, before starting a more gradual descent on mountain bike trails back into the village for a final romp through the streets to the finish line.																					
Joyce Muthoni Njeruof Kenya, the current leader of the Golden Trail World Series, didnâ€™t waste any time, taking off from the start to establish an early lead in the womenâ€™s race. By the first aid station at Twin Lakes, 3.6 miles and 25:21 in, but before any of the steep climbing, sheâ€™d already opened up an 18-second gap on second-placeMÄƒdÄƒlina Floreaof Romania and a 39-second gap on third-placeLauren Gregory.																					
Joyce Muthoni Njeru, the 2024 Mammoth Trail Fest 26k womenâ€™s winner. Photo: Sarah Attar																					
Muthoni Njeru reached the summit of Mammoth Mountain, 7.5 miles into the race, at 1:14:29, leading Florea by more than two minutes. But coming over the top, Florea opened up her stride, not ready to surrender the race.																					
Behind them, on the steep, rocky, and switchbacking climb up to the summit of Mammoth Mountain,Rachel Drakeput in a huge effort to move into third over the summit, two and a half minutes behind Florea and with a 17-second lead onAnna Gibsonin fourth place. Gregory was just another 30 seconds back in fifth, the spots for the podium still up for grabs on the long downhill.																					
Florea held a fast pace on the initial miles of the downhill, looking to be running much more aggressively than Muthoni Njeru on the wider open sections on the ski resort, but was unable to close the gap. Coming into the McCoy checkpoint at 11.1 miles in 1:37:24, Muthoni Njeru held a 2:09 lead on Florea, while Drake and Gibson ran together another 4:38 back. Gregory was only a minute back from the duo, still within reach of third.																					
After McCoy, racers faced the Bullet downhill, a newly added section of steep and technical downhill on the course. The steeper sections didnâ€™t slow anyone down, and as the race reached the flatter mountain bike trails, Muthoni Njeru continued to hold a strong pace in the lead, reaching the Garage checkpoint at mile 14.8 in 1:56:45. Florea was 1:56 behind with a significant six-minute gap over third-place Drake and fourth-place Gibson, who continued to run together.																					
Joyce Muthoni Njeru cruised into the finish without any pressure with a time of 2:11:56, taking her third win in the series and further padding her overall series lead, and MÄƒdÄƒlina Florea finished second in 2:14:51, after taking a fall and cutting her knee. Anna Gibson used her background in the track to pull away from Drake on the gradual downhill to take third.																					
(In 2023, Ostrander was suspended for four months after testing positive for canrenone, a metabolite of spironolactone, after it was determined that she mistakenly took the drug without first obtaining a World Anti-Doping Agency Therapeutic Use Exemption.)																					
Full results.																					
It didnâ€™t take long for the top four men in the Golden Trail World Series standings to separate themselves from the rest of the field.Philemon Ombogo Kiriagoof Kenya andRÃ©mi Bonnetof Switzerland pushed the pace on the relatively flat early miles, withElhousine Elazzaouiof Morocco andPatrick Kipngenoof Kenya chasing. The group came through the first aid station at Twin Lakes around 22 minutes into the race within 10 seconds of each other, and 15 seconds clear of the rest of the field.																					
Last yearâ€™s winner and course-record holder, Bonnet, was just 48 hours clear of winning the vertical kilometer (VK) race and had stated in a pre-race interview that he planned to stay with the leaders early on before launching an attack on the climb, hoping to create a gap big enough to hold off the rest of the field before the downhill. But when the climbing started, Elazzaoui, Kipngeno, and Ombogo Kiriago pushed the pace and opened up a gap on the defending champion.																					
Kipngeno was the first to the summit in 1:01:50, just three seconds up on Elazzaoui, who is known for his descending prowess. The duo had opened up a significant 1:40 gap over Bonnet, who looked to be struggling, potentially dealing with fatigue from his VK effort two days prior, and Ombogo Kiriago, who also dropped off the pace, another 40 seconds back.																					
In the early miles of the downhill, Elazzaoui let Kipngeno set the pace on the twisting singletrack, and the two came into the McCoy checkpoint at 11.1 miles together in 1:21:38. Elazzaoui continued to stay behind Kipngeno, letting small gaps open before cutting the apex of the corners, taking slightly shorter routes to repeatedly close the gap. When the two came to the new, and steep, Bullet Downhill section, Elazzaoui, who had been clearly biding his time, made his move and quickly opened a significant gap with only a few miles to go.																					
At the Garage checkpoint, Elazzaoui, who is not known for liking to lead alone, was back with Kipngeno with 2.3 miles to go, setting the pair up for a sprint finish. Behind them, Bonnet was three minutes back.																					
In the final streets, Elazzaoui opened up the sprint first, and when Kipngeno tried to get by on the inside of a corner, he found himself blocked by the Moroccan and had to hit the brakes. Elazzaoui took the win in 1:49:35 and also took the overall lead for the Golden Trail World Series going into the final. Ombogo Kiriago came in third ahead of last yearâ€™s winner Bonnet.																					
Elhousine Elazzaoui wins the sprint finish with Patrick Kipngeno, to take victory at the 2024 Mammoth Trail Fest 26k. Photo: Sarah Attar																					
Full results.																					
Related articles:"																					
