word,similarity
remarkable,0.826608
conservative,0.81929076
fine,0.81833005
young,0.8148441
hardest,0.8058669
closest,0.8012099
consecutive,0.80091286
tight,0.7966715
focused,0.79558325
solid,0.7954789
dramatic,0.79532397
busy,0.7940768
aggressive,0.7936863
consistent,0.7932631
confident,0.7904357
dominant,0.7896607
slower,0.7855971
largest,0.7827468
sharp,0.7822386
worse,0.7805858
relaxed,0.7800615
smart,0.7798807
unchanged,0.77797747
larger,0.7769766
bright,0.77472675
major,0.7730746
dynamic,0.7721312
single,0.77103364
similar,0.76971185
emotional,0.76904666
uncomfortable,0.7678381
steady,0.7674166
serious,0.7671572
global,0.76593256
smaller,0.7641064
honest,0.7629162
happy,0.7629021
rough,0.76274014
large,0.762504
unusual,0.7608114
quiet,0.7593677
successful,0.75899076
crazy,0.7585193
ultimate,0.75820285
toughest,0.7571566
impossible,0.75680745
fastest,0.75460184
greatest,0.7541883
significant,0.7523447
tough,0.75099134
stronger,0.75062954
hard,0.7502805
fresh,0.7492919
big,0.7490344
older,0.7472465
younger,0.74597716
intense,0.7449275
decent,0.7448128
strong,0.74456376
huge,0.7445489
ready,0.74067307
fun,0.73910743
short,0.73906827
smooth,0.73876786
alive,0.7381802
medical,0.7371328
amazing,0.73644257
poor,0.7360947
interesting,0.73451746
bad,0.7343167
bigger,0.7330234
middle,0.73301464
powerful,0.73123074
wrong,0.7312022
impressive,0.7311667
calm,0.73106635
typical,0.7301451
true,0.7292941
sweet,0.7283275
personal,0.7281158
brutal,0.7275805
current,0.7249078
harder,0.72373784
improved,0.7231227
worst,0.7206448
minimal,0.7186999
greater,0.7183243
quick,0.7182541
professional,0.7167541
united,0.7140812
nice,0.7134922
experienced,0.7130853
heavy,0.7117194
classic,0.7109673
oldest,0.70985436
historic,0.7087581
tired,0.7086611
wild,0.70823073
pretty,0.70820534
couple,0.70681
fair,0.7055305
positive,0.7031985
normal,0.7018149
fast,0.7017146
necessary,0.7012787
incredible,0.6981683
potential,0.69599867
senior,0.69585454
original,0.69431233
psychological,0.6938331
regular,0.6909878
super,0.68781
competitive,0.6871233
healthy,0.6863587
active,0.686336
ideal,0.6853554
slow,0.68526894
biggest,0.6845983
faster,0.68272066
helpful,0.681424
longer,0.6812088
pro,0.6788156
tiny,0.6756816
easier,0.67279065
finishing,0.67137325
excellent,0.6712042
lighter,0.66953075
former,0.6670698
iconic,0.6663382
famous,0.6663244
little,0.66605455
beautiful,0.6642998
front,0.663018
lower,0.6562218
highest,0.65507597
outstanding,0.65184784
difficult,0.6491519
simple,0.64882547
enough,0.6485846
natural,0.64801073
clean,0.6477825
certified,0.6476891
challenging,0.64677244
vegan,0.6411544
notable,0.6409741
social,0.6380972
better,0.6373427
mental,0.6333468
good,0.6330277
cold,0.6316571
cool,0.6311269
popular,0.6305954
safe,0.62895936
wide,0.6239559
respective,0.62325877
small,0.62205875
cheap,0.6194127
easy,0.618237
less,0.6129519
shorter,0.61284494
long,0.61262333
physical,0.61121124
elite,0.6107718
old,0.6098304
veteran,0.6058879
grand,0.60507494
comfortable,0.600106
important,0.5992285
affordable,0.59911937
perfect,0.5981449
unique,0.5963469
athlete,0.5936314
lightweight,0.5930041
soft,0.5864815
golden,0.5847438
different,0.5828297
extreme,0.5821699
generous,0.57031834
peak,0.56445956
extra,0.56162834
thoughtful,0.553913
favorite,0.55349267
light,0.5507497
athletic,0.5450523
fittest,0.5440153
prime,0.54348195
legendary,0.5361354
usual,0.53122807
fit,0.52739435
high,0.5262144
independent,0.5079451
technical,0.50707567
grateful,0.5068576
expert,0.5006057
special,0.4981804
ultra,0.49423906
possible,0.47574943
great,0.4753432
best,0.4752574
fat,0.46766347
